stand,plot,tree,dbh.2014,rad.inc,species,exp
73,8,3,46.9,19,psme,50
73,8,4,19.9,3,psme,50
73,8,5,22.3,6,psme,50
73,8,6,36.7,15,psme,50
73,8,7,25.6,5,psme,50
73,8,8,15.4,3,psme,50
73,8,9,24.1,3,psme,50
73,8,10,26.1,2,psme,50
73,8,11,29.7,6,psme,50
73,8,12,25.1,3,psme,50
73,8,13,32.8,9,psme,50
73,8,14,40.7,19,psme,50
73,8,15,20.2,2,psme,50
73,8,16,26.4,5,psme,50
73,8,17,20.9,1,psme,50
73,8,18,30.2,9,psme,50
73,8,19,25.8,3,psme,50
73,9,1,39.5,15,psme,50
73,9,2,40.3,15,psme,50
73,9,3,32,8,psme,50
73,9,4,39.4,17,psme,50
73,9,5,19,2,psme,50
73,9,6,30.6,9,psme,50
73,9,7,30.4,8,psme,50
73,9,8,28.7,7,psme,50
73,9,9,33.4,11,psme,50
73,9,10,23.2,7,alru,50
73,10,1,26.7,6,psme,50
73,10,2,26.8,8,psme,50
73,10,3,42.1,12,psme,50
73,10,4,31.9,8,psme,50
73,10,5,31.1,7,psme,50
73,10,6,29,11,psme,50
73,10,7,32.2,10,psme,50
73,10,8,34.5,9,psme,50
73,10,9,25.3,6,psme,50
73,10,10,30.7,6,psme,50
73,10,11,31.8,8,psme,50
73,10,12,32.1,11,psme,50
73,11,1,28.9,5,psme,50
73,11,2,32.5,7,psme,50
73,11,3,34.5,7,psme,50
73,11,4,28,6,psme,50
73,11,5,37.9,12,psme,50
73,11,6,17.2,3,psme,50
73,11,7,27,7,psme,50
73,11,8,40.1,12,psme,50
73,11,9,24.5,5,psme,50
73,11,10,30.5,6,psme,50
73,11,11,39.2,12,psme,50
73,11,12,36.7,11,psme,50
73,11,13,26.4,9,psme,50
54,14,1,28.9,15,psme,50
54,14,2,25.5,7,psme,50
54,14,3,18.9,5,psme,50
54,14,4,27.1,10,psme,50
54,14,5,22.6,6,psme,50
54,14,6,31.2,9,psme,50
54,14,7,20.7,6,psme,50
54,14,8,25.7,11,psme,50
54,14,9,26.7,10,psme,50
54,14,10,23.5,3,psme,50
54,14,11,22.1,9,psme,50
54,14,12,23,7,psme,50
54,14,13,23.1,11,psme,50
54,14,14,27.2,13,psme,50
54,14,15,29.3,12,psme,50
54,14,16,23.6,8,psme,50
54,15,1,21.5,5,psme,50
54,15,2,23,5,psme,50
54,15,3,29.9,8,psme,50
54,15,4,29.3,12,psme,50
54,15,5,25.1,14,psme,50
54,15,6,25,3,psme,50
54,15,7,24.8,12,psme,50
54,15,8,29.7,10,psme,50
54,15,9,26.3,12,psme,50
54,15,10,30.7,10,psme,50
54,15,11,33.5,11,psme,50
54,15,12,25.2,10,psme,50
54,15,13,27.3,14,psme,50
54,15,14,40.8,20,psme,50
54,15,15,26,10,psme,50
54,16,1,23.5,4,psme,50
54,16,2,28.4,9,psme,50
54,16,3,25.4,6,psme,50
54,16,4,29.4,8,psme,50
54,16,5,29.8,13,psme,50
54,16,6,21.7,3,psme,50
54,16,7,38.8,8,psme,50
54,16,8,29,13,psme,50
54,16,9,38,12,psme,50
54,16,10,29.9,8,psme,50
54,16,11,22.7,9,psme,50
54,16,12,21.3,4,psme,50
54,16,13,22.2,3,psme,50
54,16,14,33.5,18,psme,50
54,16,15,24.7,5,psme,50
54,17,1,34.4,19,psme,50
54,17,2,27.7,5,psme,50
54,17,3,21.1,6,psme,50
54,17,4,33.7,11,psme,50
54,17,5,29.3,8,psme,50
54,17,6,34.5,9,psme,50
54,17,7,37,8,psme,50
54,17,8,28,4,psme,50
54,17,9,26.4,4,psme,50
54,17,10,34.9,12,psme,50
54,17,11,33.6,8,psme,50
54,17,12,25.5,4,psme,50
54,17,13,29.1,5,psme,50
54,17,14,28.6,5,psme,50
54,18,1,29.1,5,psme,50
54,18,2,39.9,15,psme,50
54,18,3,23.8,5,psme,50
54,18,4,35.6,15,psme,50
54,18,5,35.8,8,psme,50
54,18,6,33.9,11,psme,50
54,18,7,32.2,7,psme,50
54,18,8,33.7,7,psme,50
54,19,1,28.1,5,psme,50
54,19,2,24.9,3,psme,50
54,19,3,23.9,3,psme,50
54,19,4,30.1,8,psme,50
54,19,5,20.8,3,psme,50
54,19,6,36.7,10,psme,50
54,19,7,26,15,psme,50
54,19,8,27.5,7,psme,50
54,19,9,30.9,11,psme,50
54,19,10,29.7,8,psme,50
54,19,11,22.4,6,psme,50
54,19,12,27.8,5,psme,50
54,19,13,32.2,12,psme,50
54,19,14,24.8,4,psme,50
54,19,15,17.7,4,psme,50
54,19,16,19.9,5,psme,50
54,20,1,33,14,psme,50
54,20,2,19.3,5,psme,50
54,20,3,26.7,13,psme,50
54,20,4,35.9,10,psme,50
54,20,5,27.9,11,psme,50
54,20,6,33.2,12,psme,50
54,20,7,31,11,psme,50
54,20,8,28.2,10,psme,50
54,20,9,18,3,psme,50
54,20,10,27.8,8,psme,50
54,20,11,35.7,15,psme,50
54,21,1,20.2,5,psme,50
54,21,2,28.9,12,psme,50
54,21,3,26.6,14,psme,50
54,21,4,29.8,4,psme,50
54,21,5,30.3,13,psme,50
54,21,6,31.8,12,psme,50
54,21,7,17.3,3,psme,50
54,21,8,32.3,10,psme,50
54,21,9,27,10,psme,50
54,21,10,24.3,6,psme,50
54,21,11,27.8,5,psme,50
54,21,12,30,5,psme,50
54,21,13,27.8,5,psme,50
54,21,11,31,13,psme,50
125,1,1,15.1,12,psme,75
